Conference,name,embed_code,thumbnail
Asia2012,PocketSmith.mov,//fast.wistia.net/embed/iframe/9a2sz2wm35,http://embed.wistia.com/deliveries/599d422cdba60d3cc2f46c5965838da1ca493cad.jpg
Asia2012,Sandstone.mov,//fast.wistia.net/embed/iframe/626trc77ws,http://embed.wistia.com/deliveries/f06321fdf8db7599fceb3b7a37cd0e34eae87db9.jpg
Asia2012,SmartEngine.mov,//fast.wistia.net/embed/iframe/za6xqjeo3d,http://embed.wistia.com/deliveries/248d0998beff579d16df9f16ececc133dd700e1d.jpg
Asia2012,SocietyOne.mov,//fast.wistia.net/embed/iframe/yfpni4sar2,http://embed.wistia.com/deliveries/4f7606b2730793a4073ae2196798c6642bce5c7b.jpg
Asia2012,Strands.mov,//fast.wistia.net/embed/iframe/s93ml67d0y,http://embed.wistia.com/deliveries/a8be2c9c62c45cd15b8a47a1947a93eb49df14e4.jpg
Asia2012,Striata.mov,//fast.wistia.net/embed/iframe/wwfjakz3v2,http://embed.wistia.com/deliveries/3104118d41c46d56c8257ba294b5f3f81bcae795.jpg
Asia2012,SmartEngine.mov,//fast.wistia.net/embed/iframe/9e0ybcscfn,http://embed.wistia.com/deliveries/f9ce047a9d4b7e3c2fc846cef2e279ae53b3b307.jpg
Asia2012,Tagit.mov,//fast.wistia.net/embed/iframe/9hgggwj0f3,http://embed.wistia.com/deliveries/23cb2f78e6d863396f298402b2a712c969629fa8.jpg
Asia2012,TIBCO.mov,//fast.wistia.net/embed/iframe/yqy98pbbw6,http://embed.wistia.com/deliveries/5db4c7c15e6f73d6a0bcbab3b3237724edeff63a.jpg
Asia2012,TradeHero.mov,//fast.wistia.net/embed/iframe/e5yan6ssja,http://embed.wistia.com/deliveries/98d582176a75a77f7424f87e71813953b3f1c37e.jpg
Asia2012,UBank.mov,//fast.wistia.net/embed/iframe/7oyngq9qht,http://embed.wistia.com/deliveries/77d615f4c9f14c2fc08966d98c6cbf7839423cb3.jpg
Asia2012,Vermillian.mov,//fast.wistia.net/embed/iframe/k3x9nrqwtu,http://embed.wistia.com/deliveries/fd9d4aecae435a5652020803c8cd28f314e25e7c.jpg
Asia2012,Wipro.mov,//fast.wistia.net/embed/iframe/9h824f1r2l,http://embed.wistia.com/deliveries/c4b9f5a81775c7e72862c37ac3630bb3c21253c3.jpg
Asia2012,Zighra.mov,//fast.wistia.net/embed/iframe/1k9r0bxm78,http://embed.wistia.com/deliveries/ceb25b56973bf6f80f0cc56b892dc38c4421f957.jpg
Fall2010,AceHD.mov,//fast.wistia.net/embed/iframe/rwpwvplhkt,http://embed.wistia.com/deliveries/50282d828ec44883c8b41bd844bb056fc4c36c96.jpg
Fall2010,ActivePathHD.mov,//fast.wistia.net/embed/iframe/rpb40het3f,http://embed.wistia.com/deliveries/28c1e4fae89b101d80efdfb2b0fb82d1e8517729.jpg
Fall2010,BackBaseHD.mov,//fast.wistia.net/embed/iframe/vrxyl09jlr,http://embed.wistia.com/deliveries/5995cd9a9e41aa4cc398b80344d2034047ee1e0e.jpg
Fall2010,BettermentHD.mov,//fast.wistia.net/embed/iframe/ad5hljghzy,http://embed.wistia.com/deliveries/fe2be84235d192ddd7a3b5605ee0e02be5db61d5.jpg
Fall2010,BillFloatHD.mov,//fast.wistia.net/embed/iframe/i4tgliqksd,http://embed.wistia.com/deliveries/3c3dbae5b7de969c613667a339b8fa6d81fae8b7.jpg
Fall2010,BillFloHD.mov,//fast.wistia.net/embed/iframe/bh28stpnq2,http://embed.wistia.com/deliveries/5facc4a5e50da40f01f9b0515121681b65c35d61.jpg
Fall2010,BillShrinkHD.mov,//fast.wistia.net/embed/iframe/4dp4ogbbps,http://embed.wistia.com/deliveries/ef16aefa903a4d6b8851fa408c1cdc67cd4dbc30.jpg
Fall2010,BlazeMobileHD.mov,//fast.wistia.net/embed/iframe/jl4su6w898,http://embed.wistia.com/deliveries/f90a4948be5262b67a559cee597f2899e52819cd.jpg
Fall2010,BlingNationHD.mov,//fast.wistia.net/embed/iframe/g23qgsou19,http://embed.wistia.com/deliveries/aeced4aec86df4c154015e5b61b5dfb154a982a7.jpg
Fall2010,BundleHD.mov,//fast.wistia.net/embed/iframe/94wlf3c4e2,http://embed.wistia.com/deliveries/6e33f5764a31cf448da9d1b622cd634fd92c418e.jpg
Fall2010,CanHD.mov,//fast.wistia.net/embed/iframe/hbtn96pd98,http://embed.wistia.com/deliveries/b34686c7e0258ffa0e3cefc5657ae78a7689def2.jpg
Fall2010,CashEdgeHD.mov,//fast.wistia.net/embed/iframe/rgpwcgt9bp,http://embed.wistia.com/deliveries/488ad087d1135e429885a3c7eadca90f92659c39.jpg
Fall2010,ClairMailHD.mov,//fast.wistia.net/embed/iframe/hbx9fj115v,http://embed.wistia.com/deliveries/5f0a78a7854d467c912dfc1df8e1fca860438db0.jpg
Fall2010,CreditSesameHD.mov,//fast.wistia.net/embed/iframe/g08sqq9nv0,http://embed.wistia.com/deliveries/efad684fa22949bb363067ede020ddc2b0f63aa4.jpg
Fall2010,DynamicsHD.mov,//fast.wistia.net/embed/iframe/oq0m3s4zs0,http://embed.wistia.com/deliveries/5a96bf1d7a994c832ebab126f715f1917e76731e.jpg
Fall2010,EmueHD.mov,//fast.wistia.net/embed/iframe/tsi9yydfed,http://embed.wistia.com/deliveries/991ddc2eaedb109ed7c2ce5d55c8088ab2f48954.jpg
Fall2010,FiservHD.mov,//fast.wistia.net/embed/iframe/i7un57rs7t,http://embed.wistia.com/deliveries/8a4cca265cc7cc6afb12c3237442b7f7a61c82ac.jpg
Fall2010,FISPaymentsHD.mov,//fast.wistia.net/embed/iframe/gy6hhl5qbe,http://embed.wistia.com/deliveries/04a1a626b2f5af510d785575ef697b276ea6174a.jpg
Fall2010,FISWealthcareHD.mov,//fast.wistia.net/embed/iframe/78mbps95yc,http://embed.wistia.com/deliveries/44dfdabcd7ccfffbb9b14f8bea430bb1ab926b09.jpg
Fall2010,GuardianAnalyticsHD.mov,//fast.wistia.net/embed/iframe/wmid8t4w5k,http://embed.wistia.com/deliveries/4e53eae3e6c265c79c59d4a19686ed7d4f11440b.jpg
Fall2010,HiddenLeversHD.mov,//fast.wistia.net/embed/iframe/opufgxji96,http://embed.wistia.com/deliveries/95fcb322909c2a65c12ef7e9f86b5ab98e437c8a.jpg
Fall2010,HRBlockHD.mov,//fast.wistia.net/embed/iframe/1k2d7xnkzq,http://embed.wistia.com/deliveries/98dc6dc15e3d30a6c202619644fd0bb345ebb1bf.jpg
Fall2010,IxarisHD.mov,//fast.wistia.net/embed/iframe/0ebyd4bhnh,http://embed.wistia.com/deliveries/d910132a3765e1245c9ceced58386f8587e12f6a.jpg
Fall2010,JackHenryHD.mov,//fast.wistia.net/embed/iframe/dsr7e1ala7,http://embed.wistia.com/deliveries/cfddda291827e9be3a127755d9e06dafa9af212d.jpg
Fall2010,KapitallHD.mov,//fast.wistia.net/embed/iframe/x7qol60cd6,http://embed.wistia.com/deliveries/aa5f4aea346284a013eaae119d6ee95fa788f1d9.jpg
Fall2010,KashooHD.mov,//fast.wistia.net/embed/iframe/xkmksrj5sz,http://embed.wistia.com/deliveries/0f76f75bd28e60f6f611727c9d217f4a7f368113.jpg
Fall2010,KibooHD.mov,//fast.wistia.net/embed/iframe/x8w5i8kkoa,http://embed.wistia.com/deliveries/675eb4d3898de2d69c0342302fcc39e535368155.jpg
Fall2010,KonySolutionsHD.mov,//fast.wistia.net/embed/iframe/539v9dp6fx,http://embed.wistia.com/deliveries/26d2ea5950be9f7954f7fb5d2fc8174d25bf5bd0.jpg
Fall2010,LeadFusionHD.mov,//fast.wistia.net/embed/iframe/mo2snes80t,http://embed.wistia.com/deliveries/28c6b4d7b501696acba8314204bc2665aa5bb18f.jpg
Fall2010,MatchFundHD.mov,//fast.wistia.net/embed/iframe/w0c40huowz,http://embed.wistia.com/deliveries/2e6fac6dae1b90c4492f57aab0ed84bbf3e74c24.jpg
Fall2010,MoneyStrandsHD.mov,//fast.wistia.net/embed/iframe/xopt6nej7b,http://embed.wistia.com/deliveries/0d1de217c8981a74a51e4f8cb4f5813d4dc0f6a5.jpg
Fall2010,MortgageBotHD.mov,//fast.wistia.net/embed/iframe/7sxa1gfm1f,http://embed.wistia.com/deliveries/325714ba54ecfe8973fde5e480bb9e6ba0192e17.jpg
Fall2010,oFlowsHD.mov,//fast.wistia.net/embed/iframe/cvzbma24r8,http://embed.wistia.com/deliveries/5ee723da0d56077ad656f1ebd142f2ee9fd9cf5b.jpg
Fall2010,OptirateHD.mov,//fast.wistia.net/embed/iframe/9sael94bnr,http://embed.wistia.com/deliveries/b6a314db988492a9f92dfed2e135cd74680988a8.jpg
Fall2010,OutrightHD.mov,//fast.wistia.net/embed/iframe/y0ijf003x1,http://embed.wistia.com/deliveries/fc4b8e822df9904ad8626d29d95cb4577ddf95fb.jpg
Fall2010,PageOnceHD.mov,//fast.wistia.net/embed/iframe/23tu5t2ivt,http://embed.wistia.com/deliveries/9e64a9746ecb7d8eb0be4208a2f6b693a39c5caf.jpg
Fall2010,PayNearMeHD.mov,//fast.wistia.net/embed/iframe/r9e96bhxwq,http://embed.wistia.com/deliveries/abc74f28fe566d84a93cd77d7c27e2ae951ae115.jpg
Fall2010,PinpointHD.mov,//fast.wistia.net/embed/iframe/fsmgd5wgba,http://embed.wistia.com/deliveries/c062520b3f67d8f4b6693344ee7fb071da5377ab.jpg
Fall2010,PlantlyHD.mov,//fast.wistia.net/embed/iframe/01d21b1kko,http://embed.wistia.com/deliveries/ee18a5f21d44298a571b7233a27d977cfe3a9c3a.jpg
Fall2010,PlastycHD.mov,//fast.wistia.net/embed/iframe/5df78p0e0p,http://embed.wistia.com/deliveries/ff80a19705bbb06be975affc333803063f60893a.jpg
Fall2010,ReceivablesExchangeHD.mov,//fast.wistia.net/embed/iframe/cs83wg4umj,http://embed.wistia.com/deliveries/819750389bf0af660eb599d2ac82c1cd28874271.jpg
Fall2010,SapientNitroHD.mov,//fast.wistia.net/embed/iframe/90oteyq67v,http://embed.wistia.com/deliveries/7477f6036212c0bc9e29a12f83b0462ab492336f.jpg
Fall2010,SecureKeyHD.mov,//fast.wistia.net/embed/iframe/j1s3qnaoen,http://embed.wistia.com/deliveries/bf575156181610d5dd0ab73bf4dc8dbdaee66f8e.jpg
Fall2010,SeekingAlphaHD.mov,//fast.wistia.net/embed/iframe/brwbfayd30,http://embed.wistia.com/deliveries/d466732acfed54587d4e74a7b8b06ad9ee1eff70.jpg
Fall2010,SegmintHD.mov,//fast.wistia.net/embed/iframe/cz58d1z6ic,http://embed.wistia.com/deliveries/91b9cd6f1d72e8cab54e79161f3be988058e1b81.jpg
Fall2010,SilverTailHD.mov,//fast.wistia.net/embed/iframe/ppqr1oy5bo,http://embed.wistia.com/deliveries/fd66a446df74f6ed5c3fa3ce50d9a2a051828617.jpg
Fall2010,SmartyPigHD.mov,//fast.wistia.net/embed/iframe/j5fprity8h,http://embed.wistia.com/deliveries/6b10a545da140ec5f7ee0beb4c08ffa0b272829b.jpg
Fall2010,StandardCharteredHD.mov,//fast.wistia.net/embed/iframe/h37379yx1e,http://embed.wistia.com/deliveries/72c79012f54052fe4b1645b3afecda98425a9818.jpg
Fall2010,ThwakkHD.mov,//fast.wistia.net/embed/iframe/fw3umb7mox,http://embed.wistia.com/deliveries/dc906e257881af0b166c2662e608556067af34fa.jpg
Fall2010,TouMetisHD.mov,//fast.wistia.net/embed/iframe/5ns3kpxtc8,http://embed.wistia.com/deliveries/647725e39926c295bf79b795a0184c67b2dfc2fb.jpg
Fall2010,UnienceHD.mov,//fast.wistia.net/embed/iframe/6nrkjkx3pi,http://embed.wistia.com/deliveries/c740a25cf2d584d93a5b61bfc067885d64c210f7.jpg
Fall2010,WongaHD.mov,//fast.wistia.net/embed/iframe/covmumcwlt,http://embed.wistia.com/deliveries/02c3a734b4dd62f4284bb76b331fa025edc50331.jpg
Fall2010,WorkLightHD.mov,//fast.wistia.net/embed/iframe/dn67ulcvab,http://embed.wistia.com/deliveries/69a4813a13c17d9f3600168817597c6cbbf23fa2.jpg
Fall2010,YodleeHD.mov,//fast.wistia.net/embed/iframe/huuh5isds0,http://embed.wistia.com/deliveries/ed670f593b1e1d9e38e557a6bed36cb1c0e4ad67.jpg
Fall2011,ACImshiftHD.mov,//fast.wistia.net/embed/iframe/l0o1gwklcy,http://embed.wistia.com/deliveries/adbe75f8f5b11b47c2122e30033fbeddb885d227.jpg
